learning_rate,n_epochs,accuracy,batch_size,test_samples,optimizer,train_samples,time
0.01,10,0.8557,512,10000,gradient_descent,55000,2.3620502949
0.01,10,0.7274,512,10000,adadelta,55000,2.387503624
0.01,10,0.8633,512,10000,adam,55000,2.3075976372
0.01,50,0.8699,512,10000,gradient_descent,55000,9.592813015
0.01,50,0.8354,512,10000,adadelta,55000,9.839993
0.01,50,0.8597,512,10000,adam,55000,10.0016801357
0.01,100,0.8703,512,10000,gradient_descent,55000,18.5353238583
0.01,100,0.8496,512,10000,adadelta,55000,18.8793792725
0.01,100,0.8572,512,10000,adam,55000,19.4353852272
0.01,10,0.7074,2048,10000,gradient_descent,55000,1.5451929569
0.01,10,0.308,2048,10000,adadelta,55000,1.5731105804
0.01,10,0.7332,2048,10000,adam,55000,1.5860142708
0.01,50,0.7224,2048,10000,gradient_descent,55000,6.5868115425
0.01,50,0.6648,2048,10000,adadelta,55000,6.65097785
0.01,50,0.7312,2048,10000,adam,55000,6.7716441154
0.01,100,0.7275,2048,10000,gradient_descent,55000,12.9644768238
0.01,100,0.6867,2048,10000,adadelta,55000,13.0240206718
0.01,100,0.7303,2048,10000,adam,55000,13.1373839378
0.01,10,0.6938,4096,10000,gradient_descent,55000,1.3834745884
0.01,10,0.146,4096,10000,adadelta,55000,1.3878922462
0.01,10,0.7333,4096,10000,adam,55000,1.4007339478
0.01,50,0.7156,4096,10000,gradient_descent,55000,5.876398325
0.01,50,0.5667,4096,10000,adadelta,55000,5.8967356682
0.01,50,0.7317,4096,10000,adam,55000,5.925350666
0.01,100,0.7225,4096,10000,gradient_descent,55000,11.4875047207
0.01,100,0.6539,4096,10000,adadelta,55000,11.5068583488
0.01,100,0.7307,4096,10000,adam,55000,11.473498106
0.1,10,0.8684,512,10000,gradient_descent,55000,2.3011398315
0.1,10,0.8412,512,10000,adadelta,55000,2.403942585
0.1,10,0.8319,512,10000,adam,55000,2.3082692623
0.1,50,0.8726,512,10000,gradient_descent,55000,9.4672732353
0.1,50,0.867,512,10000,adadelta,55000,9.6363346577
0.1,50,0.8266,512,10000,adam,55000,9.934078455
0.1,100,0.8719,512,10000,gradient_descent,55000,19.0642287731
0.1,100,0.8698,512,10000,adadelta,55000,19.1422710419
0.1,100,0.8336,512,10000,adam,55000,19.3257071972
0.1,10,0.7272,2048,10000,gradient_descent,55000,1.5617089272
0.1,10,0.6764,2048,10000,adadelta,55000,1.6088044643
0.1,10,0.6718,2048,10000,adam,55000,1.6023375988
0.1,50,0.7329,2048,10000,gradient_descent,55000,6.7271435261
0.1,50,0.7171,2048,10000,adadelta,55000,6.6913263798
0.1,50,0.7133,2048,10000,adam,55000,6.6721360683
0.1,100,0.7339,2048,10000,gradient_descent,55000,12.9204456806
0.1,100,0.727,2048,10000,adadelta,55000,13.0515089035
0.1,100,0.6874,2048,10000,adam,55000,13.1090483665
0.1,10,0.7216,4096,10000,gradient_descent,55000,1.3838200569
0.1,10,0.6419,4096,10000,adadelta,55000,1.3883519173
0.1,10,0.6983,4096,10000,adam,55000,1.4011595249
0.1,50,0.7322,4096,10000,gradient_descent,55000,5.8316028118
0.1,50,0.7002,4096,10000,adadelta,55000,5.9299836159
0.1,50,0.681,4096,10000,adam,55000,5.8474714756
0.1,100,0.7339,4096,10000,gradient_descent,55000,11.4239850044
0.1,100,0.7191,4096,10000,adadelta,55000,11.4390280247
0.1,100,0.5952,4096,10000,adam,55000,11.5285606384
1,10,0.8339,512,10000,gradient_descent,55000,2.2209603786
1,10,0.8685,512,10000,adadelta,55000,2.2495827675
1,10,0.8189,512,10000,adam,55000,2.3005056381
1,50,0.8281,512,10000,gradient_descent,55000,9.4371187687
1,50,0.8728,512,10000,adadelta,55000,9.6146352291
1,50,0.8264,512,10000,adam,55000,9.7004909515
1,100,0.8309,512,10000,gradient_descent,55000,18.4549074173
1,100,0.8732,512,10000,adadelta,55000,18.9446177483
1,100,0.8124,512,10000,adam,55000,20.2600300312
1,10,0.6144,2048,10000,gradient_descent,55000,1.630515337
1,10,0.7205,2048,10000,adadelta,55000,1.6535081863
1,10,0.6795,2048,10000,adam,55000,1.568469286
1,50,0.6711,2048,10000,gradient_descent,55000,6.7068004608
1,50,0.7325,2048,10000,adadelta,55000,6.709184885
1,50,0.6474,2048,10000,adam,55000,6.6994950771
1,100,0.7284,2048,10000,gradient_descent,55000,13.0723502636
1,100,0.7347,2048,10000,adadelta,55000,13.1747682095
1,100,0.7111,2048,10000,adam,55000,13.3858661652
1,10,0.6787,4096,10000,gradient_descent,55000,1.4724831581
1,10,0.7093,4096,10000,adadelta,55000,1.4253349304
1,10,0.5957,4096,10000,adam,55000,1.4555990696
1,50,0.6964,4096,10000,gradient_descent,55000,6.0537214279
1,50,0.7311,4096,10000,adadelta,55000,6.0800592899
1,50,0.6961,4096,10000,adam,55000,6.0673174858
1,100,0.6805,4096,10000,gradient_descent,55000,11.7118062973
1,100,0.734,4096,10000,adadelta,55000,11.7953181267
1,100,0.6983,4096,10000,adam,55000,11.7696890831
0.01,10,0.8896,128,10000,gradient_descent,55000,5.4291219711
0.01,10,0.8412,128,10000,adadelta,55000,5.7033858299
0.01,10,0.8777,128,10000,adam,55000,5.8231971264
0.01,50,0.8953,128,10000,gradient_descent,55000,22.1951329708
0.01,50,0.8756,128,10000,adadelta,55000,22.8915660381
0.01,50,0.8757,128,10000,adam,55000,23.2055442333
0.01,100,0.8956,128,10000,gradient_descent,55000,42.9409191608
0.01,100,0.8838,128,10000,adadelta,55000,43.8693504333
0.01,100,0.8693,128,10000,adam,55000,46.213146925
0.1,10,0.8924,128,10000,gradient_descent,55000,5.5287086964
0.1,10,0.8829,128,10000,adadelta,55000,5.6909775734
0.1,10,0.8481,128,10000,adam,55000,6.1141905785
0.1,50,0.8921,128,10000,gradient_descent,55000,23.0275037289
0.1,50,0.8926,128,10000,adadelta,55000,24.3090353012
0.1,50,0.8472,128,10000,adam,55000,23.6724529266
0.1,100,0.8917,128,10000,gradient_descent,55000,42.6862823963
0.1,100,0.8942,128,10000,adadelta,55000,44.4177372456
0.1,100,0.8386,128,10000,adam,55000,46.4074780941
1,10,0.8492,128,10000,gradient_descent,55000,5.7742276192
1,10,0.8934,128,10000,adadelta,55000,5.9317576885
1,10,0.8249,128,10000,adam,55000,5.966211319
1,50,0.8549,128,10000,gradient_descent,55000,23.3869225979
1,50,0.8948,128,10000,adadelta,55000,24.1792676449
1,50,0.8412,128,10000,adam,55000,23.6836330891
1,100,0.8538,128,10000,gradient_descent,55000,43.984177351
1,100,0.8944,128,10000,adadelta,55000,44.8267977238
1,100,0.8304,128,10000,adam,55000,46.8099193573
